name,ra,dec,redshift,nH,r500,r500+-,Tx500,Tx500-,Tx500+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+,Lx500_0.1-2.4,Lx500_0.1-2.4-,Lx500_0.1-2.4+,Tx500ce,Tx500ce-,Tx500ce+,Lx500ce_0.5-2.0,Lx500ce_0.5-2.0-,Lx500ce_0.5-2.0+,Lx500ce_0.01-100.0,Lx500ce_0.01-100.0-,Lx500ce_0.01-100.0+,Lx500ce_0.1-2.4,Lx500ce_0.1-2.4-,Lx500ce_0.1-2.4+
LoVoCCS-1,227.7342997,5.7454708,0.0766,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-2,44.74,13.58,0.0739,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-4A,10.45875,-9.301944444,0.0555,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-4B,10.4514869,-9.4600066,0.0555,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-5,303.1573131,-56.8459781,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-7,330.48,-59.95,0.098,0.0277,1151.145562216013,15.707015747102304,5.885219134,0.0625298139999994,0.0625228620000006,3.0361509930000002e+44,9.2822749828629e+41,8.0193512567439e+41,1.0708492270000002e+45,5.73315216857288e+42,5.4883065506818505e+42,4.909749114000001e+44,1.7691596206021302e+42,1.8952592962432204e+42,5.679826096,0.0809432900000004,0.0816074039999996,2.0217760380000002e+44,8.4172920901373e+41,1.0485920896620001e+42,7.013128944000001e+44,5.53214560827527e+42,5.76880159780105e+42,3.2709905610000005e+44,1.8213747947563e+42,1.1540911603762602e+42
LoVoCCS-9,67.8304873,-61.4474009,0.0589,0.0213,1109.1334287393445,24.61663396469586,7.564901888,0.0844387119999998,0.0841808159999999,1.6350083620000002e+44,9.5475478072848e+41,1.64503420107507e+42,6.439329633000001e+44,6.04828911839501e+42,5.553135317130821e+42,2.6355153360000004e+44,1.9485934876082504e+42,2.0446335536441e+42,7.60276461,0.1026675690000002,0.1077038219999995,1.2518712010000001e+44,1.25773750840384e+42,1.19922381697904e+42,4.941271070000001e+44,4.8220466417339e+42,7.13187656723074e+42,2.017810504e+44,2.3050875894774604e+42,1.8292319579071602e+42
LoVoCCS-10,194.84,-4.19,0.0845,0.0153,1103.1287404080465,17.186872126638356,5.600041478,0.0835803009999995,0.0835439980000005,2.9900876210000003e+44,1.42506241157754e+42,1.5884140944086502e+42,1.029611978e+45,7.611749734635961e+42,8.06605244016239e+42,4.838445643e+44,2.3342276006757803e+42,2.6192650306678502e+42,5.562509573,0.1262764779999994,0.1261092790000004,1.887861901e+44,1.1276826342428701e+42,1.4375786992260602e+42,6.480288135000001e+44,7.85268849598158e+42,8.180518261945731e+42,3.0551484200000005e+44,2.59679781785265e+42,1.56173396314201e+42
LoVoCCS-11,137.28,-9.67,0.0542,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-12,206.87,-32.85,0.0391,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-13,49.49,-44.24,0.0752,0.0112,939.9167569281508,11.883141117960445,4.013315042,0.0092016390000004,0.0092022049999993,2.4838236110000003e+44,3.9384542643148005e+41,3.5498732756478006e+41,7.320363491e+44,1.10860127962676e+42,1.2966303886868001e+42,4.0405418780000006e+44,8.279066784354401e+41,6.1710610781173005e+41,4.280526132,0.0194145109999999,0.0193670259999994,1.1517989120000003e+44,3.0778721415317006e+41,2.4541147787500005e+41,3.4961528010000004e+44,1.57901210961665e+42,1.16076927559621e+42,1.87141401e+44,4.6214629254002e+41,4.8445310701320005e+41
LoVoCCS-14,44.46,13.05,0.0722,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-15,351.33,-12.13,0.0852,0.0224,891.7072031680012,11.892568482869295,3.687864484,0.0094830009999999,0.0094964110000002,2.4987038800000003e+44,4.9298592346377e+41,5.883177706805101e+41,7.0900694950000006e+44,2.35520444176567e+42,2.0673833602841702e+42,4.0720710760000006e+44,9.201162272291e+41,7.4681873893536e+41,3.568337755,0.018976399,0.0189962129999998,1.0057573330000002e+44,3.3195387402781004e+41,4.829548629191901e+41,2.8125667440000004e+44,1.4012451398921203e+42,1.5310833511947602e+42,1.6401065720000003e+44,7.1420473086036e+41,6.058929377124101e+41
