name,ra,dec,redshift,r500,Tx500,Tx500-,Tx500+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+,Lx500_0.4-2.4,Lx500_0.4-2.4-,Lx500_0.4-2.4+,Zmet500,Zmet500-,Zmet500+,Tx500ce,Tx500ce-,Tx500ce+,Lx500ce_0.5-2.0,Lx500ce_0.5-2.0-,Lx500ce_0.5-2.0+,Lx500ce_0.01-100.0,Lx500ce_0.01-100.0-,Lx500ce_0.01-100.0+,Lx500ce_0.4-2.4,Lx500ce_0.4-2.4-,Lx500ce_0.4-2.4+,Zmet500ce,Zmet500ce-,Zmet500ce+
LoVoCCS-1,227.7342997,5.7454708,0.0766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-2,44.74,13.58,0.0739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-4A,10.45875,-9.301944444,0.0555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-4B,10.4514869,-9.4600066,0.0555,1144.764889338936,5.55319,0.049256401,0.049230777,6.827098348000001e+43,2.37604766845518e+42,1.63178199209586e+42,2.3231901150000005e+44,7.9372563873579e+42,6.504758177951192e+42,8.728831154e+43,2.51448530261696e+42,2.3648324012752103e+42,0.211546,0.0131715794,0.0132199466999999,5.64945,0.0508334799999996,0.0508054239999999,5.588954382e+43,2.26384255527367e+42,2.2623342404134802e+42,1.917375613e+44,5.887958963113691e+42,5.1995005822859407e+42,7.148396076e+43,2.24945269840903e+42,2.17575992249692e+42,0.214844,0.0138909767,0.0139471944
LoVoCCS-5,303.1573131,-56.8459781,0.0556,1119.049232080432,5.356,0.0445136129999994,0.0443917279999999,1.6039583740000002e+44,7.309934554185342e+42,6.47070444360219e+42,5.365145112000001e+44,2.800941393764947e+43,2.237159510545566e+43,2.049201519e+44,8.969817421458751e+42,9.452302460351001e+42,0.202952,0.0122552230999999,0.0122656641,5.33265,0.0548098719999998,0.0546775149999998,1.0998779590000002e+44,6.90206224732045e+42,8.983428963311261e+42,3.665132076e+44,2.810299847672368e+43,1.50758878982349e+43,1.405310087e+44,1.0598579553197931e+43,8.95969997831429e+42,0.178768,0.014775492,0.0146687026
LoVoCCS-7,330.48,-59.95,0.098,1149.34441379855,5.88148,0.0635614719999999,0.063587762,3.0366586020000004e+44,1.3173011302013402e+42,9.5108173588023e+41,1.0658086120000001e+45,5.885371207953591e+42,6.79528545108009e+42,3.887159594e+44,1.6978948360965004e+42,1.51502877265646e+42,0.239521,0.0152164201,0.0154211183999999,5.64866,0.0837150929999994,0.0836437170000001,2.024872207e+44,1.1607921087489802e+42,1.0826060322150201e+42,6.952759227e+44,6.7184760348164e+42,5.0902475670809506e+42,2.59029101e+44,1.12395286878155e+42,1.2976177941303802e+42,0.198697,0.0207273565,0.0209601420999999
LoVoCCS-9,67.8304873,-61.4474009,0.0589,1209.8718861453597,6.808,0.0451616299999999,0.0408671180000004,1.5519359720000003e+44,2.09579678021498e+42,2.1557441005173603e+42,5.7797411310000005e+44,6.922548193198801e+42,7.161609249219981e+42,1.9930219810000002e+44,2.7069185285586e+42,2.0486193909284504e+42,0.182259,0.0094277561999999,0.00946431,,,,,,,,,,,,,,,
LoVoCCS-10,194.84,-4.19,0.0845,1129.5039073474982,5.57022,0.0899044499999996,0.0894025550000003,3.0100151280000004e+44,1.8732883728554002e+42,1.3868441764051703e+42,1.0330888820000001e+45,8.30056712345984e+42,9.731621847532841e+42,3.847085663000001e+44,2.4201578823894803e+42,2.18596652494986e+42,0.289258,0.0262677023,0.0263985068,5.44161,0.1335854730000001,0.1456613989999997,1.886214523e+44,1.4675550194955203e+42,1.3760556334646902e+42,6.349936999e+44,9.82699436159442e+42,9.16146191524912e+42,2.411353502e+44,2.0407949838934003e+42,1.7466620214885502e+42,0.172765,0.0369471064999999,0.0378782515999999
LoVoCCS-11,137.28,-9.67,0.0542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-12,206.87,-32.85,0.0391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoVoCCS-13,49.49,-44.24,0.0752,944.9519451695502,4.04929,0.0100008289999999,0.0082231979999995,2.487712813e+44,2.5726606297174e+41,3.935470337309001e+41,7.395134584000001e+44,1.3061814560286302e+42,1.2206033248202701e+42,3.1471131180000004e+44,4.3251643551894e+41,4.8519894778974005e+41,0.408156,0.0038272899,0.0036830562999999,4.175,0.0208691939999994,0.0208529320000003,1.1507688750000001e+44,3.8262778277379005e+41,2.4987315559940005e+41,3.4342624610000003e+44,1.2012043535798702e+42,1.40929905513561e+42,1.4614982370000002e+44,3.803061832475e+41,3.9962599107592e+41,0.186252,0.0060829478999999,0.0061511689
